anime_id,score,watching_status,watched_episodes
25397,0,1,5
38328,0,1,0
40904,0,1,0
38186,0,1,5
34566,0,1,281
4186,0,1,18
34497,7,1,10
40526,0,1,1
47164,0,1,7
71,0,1,2
41025,0,1,2
4725,0,1,0
1281,0,1,0
40052,0,1,1
48413,0,1,9
31988,0,1,3
40842,0,1,7
49438,0,1,9
48753,0,1,2
43969,0,1,0
6624,0,1,0
41103,0,1,4
48926,0,1,5
13655,0,1,0
48375,0,1,0
48438,0,1,1
42340,0,1,1
48483,0,1,0
36038,0,1,4
36043,0,1,0
43007,0,1,7
33926,0,1,0
37932,0,1,0
37078,0,1,0
40080,0,1,0
48406,0,1,0
2993,0,1,0
41456,0,1,3
46985,0,1,0
46093,0,1,11
30484,0,1,0
37492,0,1,0
32188,0,1,0
48556,0,1,3
46471,0,1,0
40356,0,1,0
34822,0,1,6
33589,0,1,0
32899,0,1,2
50404,0,1,0
37055,0,1,0
49236,0,1,0
34284,0,1,0
41915,0,1,7
8481,7,2,3
6408,7,2,1
41380,6,2,12
44881,6,2,12
38101,8,2,12
39783,8,2,12
41457,9,2,11
48569,10,2,12
50475,7,2,2
49235,7,2,1
39790,7,2,12
22199,8,2,24
32828,8,2,12
22147,8,2,13
11111,9,2,12
11701,7,2,1
24833,9,2,22
30654,9,2,25
33513,7,2,1
21995,7,2,12
24151,7,2,2
36882,8,2,13
40507,8,2,12
50916,7,2,1
40083,7,2,2
40128,8,2,12
38572,7,2,12
14669,7,2,1
34572,9,2,170
34618,8,2,12
31043,9,2,12
39819,7,2,1
28755,7,2,1
32365,7,2,1
1689,8,2,3
28999,9,2,13
40960,7,2,12
39523,7,2,12
14741,7,2,12
35608,7,2,1
18671,8,2,12
34382,7,2,12
34437,10,2,1
1575,10,2,25
12685,6,2,1
34438,8,2,1
34439,8,2,1
34440,8,2,1
1953,10,2,9
2904,10,2,25
5163,10,2,9
6768,8,2,1
2124,9,2,2
35756,7,2,12
31636,7,2,12
36049,6,2,12
35849,8,2,24
15583,7,2,12
19163,8,2,10
22961,8,2,1
36633,7,2,12
41461,9,2,12
24655,7,2,1
17641,8,2,1
42571,2,2,12
37982,6,2,12
223,8,2,153
6033,7,2,97
22777,8,2,61
30694,7,2,131
36946,8,2,1
14837,7,2,1
25389,7,2,1
28121,8,2,13
32887,7,2,12
37347,8,2,12
40454,8,2,12
37348,8,2,1
6746,8,2,24
27833,8,2,12
23199,8,2,12
27831,8,2,12
32901,6,2,12
36792,7,2,2
41120,8,2,11
33731,8,2,12
30544,8,2,12
31737,8,2,12
28907,8,2,12
31637,8,2,12
41710,8,2,13
49930,8,2,13
37349,8,2,12
39576,8,2,1
43692,8,2,5
48707,8,2,5
17895,8,2,24
17729,8,2,13
29101,8,2,6
29093,8,2,1
29095,8,2,10
31368,8,2,5
10793,8,2,22
38830,7,2,12
13161,7,2,12
34403,6,2,10
15809,9,2,13
37141,8,2,13
38816,8,2,1
27989,8,2,13
40938,7,2,13
11617,8,2,12
24703,7,2,12
34281,7,2,12
15451,7,2,12
31500,7,2,12
37704,7,2,1
34125,8,2,2
36296,8,2,12
42897,9,2,13
10408,8,2,1
12189,8,2,22
13469,7,2,1
9041,8,2,12
18247,7,2,12
37744,6,2,12
37210,7,2,12
41623,7,2,10
34012,8,2,12
48804,8,2,12
35203,7,2,12
40010,7,2,12
38790,8,2,12
41783,7,2,12
40787,9,2,1
40748,10,2,24
24873,7,2,12
7054,8,2,26
40221,9,2,13
41930,6,2,12
39198,8,2,12
40839,7,2,12
2593,8,2,1
3782,8,2,1
3783,8,2,1
4280,8,2,1
4282,8,2,1
5204,8,2,1
5205,8,2,1
6954,8,2,1
14807,8,2,1
22763,8,2,1
35860,7,2,12
38993,8,2,12
1691,8,2,24
24439,8,2,12
34451,8,2,12
36407,8,2,12
18679,8,2,24
38000,8,2,26
40456,8,2,1
49926,8,2,7
47778,10,2,11
33218,9,2,1
32281,9,2,1
36098,9,2,1
40595,7,2,12
38594,7,2,1
31798,8,2,12
33206,9,2,13
39247,9,2,12
28851,9,2,1
39388,8,2,12
11887,8,2,13
16001,8,2,4
30831,8,2,10
32937,8,2,10
34626,8,2,1
38040,8,2,1
16782,0,2,1
28623,8,2,12
33519,8,2,1
33520,8,2,1
34544,9,2,1
40974,8,2,12
49776,8,2,12
433,8,2,1
51064,9,2,12
25283,8,2,12
32949,7,2,12
39017,6,2,12
18153,8,2,12
25015,7,2,1
28675,8,2,1
30745,7,2,1
23385,8,2,1
17265,8,2,25
23321,8,2,25
41109,8,2,12
50709,9,2,13
24455,8,2,13
36266,8,2,12
20785,8,2,26
32900,8,2,1
40497,7,2,13
35062,9,2,24
32902,9,2,3
40571,8,2,12
49470,8,2,12
40496,9,2,13
14833,8,2,12
33487,7,2,12
41812,7,2,10
35828,8,2,12
10620,8,2,26
38935,5,2,12
39535,10,2,11
45576,10,2,12
38397,7,2,12
20,8,2,220
442,7,2,1
936,6,2,1
2144,6,2,1
1735,9,2,500
2472,8,2,1
4437,7,2,1
8246,7,2,1
10589,9,2,1
13667,7,2,1
34383,5,2,12
19815,9,2,12
33674,8,2,1
20507,9,2,12
30503,8,2,13
30276,8,2,12
34134,7,2,12
14749,7,2,13
50461,9,2,12
29803,8,2,13
35073,8,2,13
37675,8,2,13
26243,8,2,12
28927,8,2,12
42627,7,2,12
27775,9,2,13
37345,8,2,24
31559,8,2,12
32360,8,2,12
30296,8,2,12
30015,9,2,13
35466,9,2,4
38992,8,2,12
32951,7,2,12
23277,8,2,12
30727,8,2,11
36885,8,2,1
30749,7,2,12
32542,7,2,12
13759,8,2,24
5940,6,2,12
22663,7,2,12
44203,8,2,12
22877,7,2,12
37450,9,2,13
47790,9,2,12
38787,8,2,12
38759,8,2,12
48415,7,2,12
47161,7,2,12
44037,8,2,13
38659,7,2,12
23233,7,2,12
30363,7,2,10
36688,7,2,1
28171,7,2,24
31327,7,2,2
40902,8,2,13
32282,7,2,13
34480,8,2,2
35788,7,2,12
36962,7,2,1
36949,8,2,12
39940,7,2,12
33502,10,2,12
40586,8,2,12
48736,9,2,12
50265,10,2,12
9253,10,2,24
11577,9,2,1
10863,9,2,1
2418,8,2,1
18277,8,2,24
49316,8,2,4
33286,8,2,8
37449,8,2,10
40485,8,2,12
40486,8,2,1
30321,8,2,2
14289,8,2,13
11757,8,2,25
36475,8,2,12
21881,8,2,24
31765,8,2,1
36474,9,2,24
39597,9,2,12
40540,9,2,11
20021,7,2,1
24133,7,2,12
21647,7,2,1
16417,8,2,12
32093,9,2,12
35790,8,2,25
40594,7,2,12
38826,9,2,1
47159,8,2,12
37430,9,2,24
39551,10,2,12
41487,10,2,12
49318,7,2,1
38793,7,2,5
39607,7,2,1
41488,8,2,12
41353,8,2,13
16870,8,2,1
38480,8,2,12
6213,8,2,24
16049,8,2,24
38481,9,2,25
4654,8,2,24
8937,8,2,24
36432,8,2,26
11743,8,2,1
22319,8,2,12
27899,7,2,12
36511,6,2,12
37799,6,2,12
14227,7,2,13
16866,7,2,1
41389,7,2,12
44931,7,2,1
4224,8,2,25
25157,8,2,12
33581,0,2,1
37986,8,2,1
28285,8,2,1
35602,6,2,1
34902,7,2,12
38573,7,2,12
